Geração,Tipo,ID,Nome,Grupo,Aniversário,Vocal,Dance,Rap,Center,Visual,Especialidade,Conceitos predominantes,Gêneros predominantes,Pontos Fortes,Pontos Fracos
4,idol,cignaturesunnformer,Sunn (former),cignature,07-02-2000,C,A,B,B,C,,,,,
4,idol,cignatureyeahformer,Ye Ah (former),cignature,09-10-1999,A,C,D,B,C,,,,,
5,idol,classyboeun,Boeun,CLASS:y,11-02-2008,B,B,D,A,A,,,,,
5,idol,classychaewon,Chaewon,CLASS:y,04-06-2003,A,B,D,B,A,,,,,
5,idol,classyhyeju,Hyeju,CLASS:y,09-12-2003,C,A,C,B,B,,,,,
5,idol,classyjimin,Jimin,CLASS:y,25-11-2007,A,B,C,A,A,,,,,
5,idol,classymyunghyungseo,Myung Hyungseo,CLASS:y,25-06-2001,B,B,D,B,B,,,,,
5,idol,classyriwon,Riwon,CLASS:y,11-01-2007,A,C,D,C,B,,,,,
5,idol,classyseonyou,Seonyou,CLASS:y,20-03-2008,D,B,C,B,B,,,,,
5,idol,cosmosyamei,A’mei ,COSMOSY,30-10-2007,B,B,A,B,C,,,,,
5,idol,cosmosydehana,De_Hana,COSMOSY,10-05-2006,A,B,D,B,A,,,,,
5,idol,cosmosyhimesha,Himesha,COSMOSY,23-01-2006,B,B,A,B,C,,,,,
5,idol,cosmosykamion,Kamión,COSMOSY,18-07-2006,A,B,D,B,B,,,,,
4,idol,csrduna,Duna,CSR,28-04-2005,B,B,D,B,A,,,,,
4,idol,csrgeumhee,Geumhee,CSR,04-03-2005,D,C,C,C,B,,,,,
4,idol,csrseoyeon,Seoyeon,CSR,26-03-2005,B,B,D,B,B,,,,,
4,idol,csrsihyeon,Sihyeon,CSR,12-03-2005,D,C,D,C,B,,,,,
4,idol,csrsua,Sua,CSR,23-07-2005,C,B,D,B,A,,,,,
4,idol,csryeham,Yeham,CSR,07-10-2005,A,B,D,B,B,,,,,
4,idol,csryuna,Yuna,CSR,23-04-2005,A,B,D,B,A,,,,,
4,idol,dreamnoteboni,Boni,DreamNote,30-10-1999,B,B,D,B,C,,,,,
4,idol,dreamnoteeunjo,Eunjo,DreamNote,07-03-2002,B,B,C,B,B,,,,,
4,idol,dreamnotehanbyeol,Hanbyeol,DreamNote,25-02-2002,C,B,C,B,B,,,,,
4,idol,dreamnotelara,Lara ,DreamNote,09-08-2000,A,B,D,B,B,,,,,
4,idol,dreamnotemiso,Miso,DreamNote,25-10-2000,A,B,C,B,B,,,,,
4,idol,dreamnotesumin,Sumin,DreamNote,07-09-2001,B,B,D,A,B,,,,,
4,idol,dreamnoteyoui,Youi,DreamNote,24-04-2000,C,B,D,B,B,,,,,
4,idol,everglowaisha,Aisha ,Everglow,21-07-2000,C,A,B,B,A,,,,,
4,idol,evergloweu,E:U,Everglow,19-05-1998,D,B,S,B,B,,,,,
4,idol,everglowmia,Mia,Everglow,13-01-2000,A,S,B,A,B,,,,,
4,idol,everglowonda,Onda,Everglow,18-05-2000,C,A,D,C,C,,,,,
4,idol,everglowsihyeon,Sihyeon,Everglow,05-08-1999,A,B,D,B,A,,,,,
4,idol,everglowyiren,Yiren,Everglow,29-12-2000,C,B,D,A,S,,,,,
5,idol,fiftyfiftyathena,Athena,FIFTY FIFTY,15-03-2007,B,B,D,A,B,,,,,
5,idol,fiftyfiftychanellemoon,Chanelle Moon,FIFTY FIFTY,14-06-2003,A,A,B,B,C,,,,,
5,idol,fiftyfiftyhana,Hana,FIFTY FIFTY,05-09-2006,A,B,D,C,B,,,,,
5,idol,fiftyfiftykeena,Keena,FIFTY FIFTY,09-07-2002,B,B,B,B,C,,,,,
5,idol,fiftyfiftyyewon,Yewon,FIFTY FIFTY,18-03-2005,B,C,D,B,B,,,,,
4,idol,fromis9chaeyoung,Chaeyoung,fromis_9,14-05-2000,B,B,C,B,A,,,,,
4,idol,fromis9gyuri,Gyuri,fromis_9,27-12-1997,A,C,D,B,A,,,,,
4,idol,fromis9hayoung,Hayoung,fromis_9,29-09-1997,S,A,D,B,A,,,,,
4,idol,fromis9jiheon,Jiheon,fromis_9,17-04-2003,C,B,D,C,A,,,,,
4,idol,fromis9jisun,Jisun,fromis_9,23-11-1998,C,C,D,B,A,,,,,
4,idol,fromis9jiwon,Jiwon,fromis_9,20-03-1998,S,B,D,B,B,,,,,
4,idol,fromis9nagyung,Nagyung,fromis_9,01-06-2000,A,B,D,A,A,,,,,
4,idol,fromis9saerom,Saerom,fromis_9,07-01-1997,C,A,D,B,A,,,,,
4,idol,fromis9seoyeon,Seoyeon,fromis_9,22-01-2000,B,B,B,C,B,,,,,
4,idol,h1keyhwiseo,Hwiseo,H1-KEY,31-07-2002,A,B,C,A,B,,,,,
4,idol,h1keyriina,Riina,H1-KEY,21-02-2001,B,B,D,B,A,,,,,
4,idol,h1keyseoi,Seoi,H1-KEY,12-02-2000,B,C,D,B,A,,,,,
4,idol,h1keyyel,Yel,H1-KEY,25-12-2004,B,A,C,A,A,,,,,
5,idol,hearts2heartsa-na,A-na,Hearts2Hearts,20-12-2008,B,A,B,S,S,,,,,
5,idol,hearts2heartscarmen,Carmen,Hearts2Hearts,28-03-2006,S,B,D,B,B,,,,,
5,idol,hearts2heartsian,Ian,Hearts2Hearts,09-10-2009,B,A,D,S,S,,,,,
5,idol,hearts2heartsjiwoo,Jiwoo,Hearts2Hearts,07-09-2006,C,A,C,B,S,,,,,
5,idol,hearts2heartsjuun,Juun,Hearts2Hearts,03-12-2008,C,S,B,C,B,,,,,
5,idol,hearts2heartsstella,Stella,Hearts2Hearts,18-06-2007,A,B,D,B,A,,,,,
5,idol,hearts2heartsye-on,Ye-on,Hearts2Hearts,19-04-2010,A,B,D,C,B,,,,,
5,idol,hearts2heartsyuha,Yuha,Hearts2Hearts,12-04-2007,A,B,D,B,A,,,,,
5,idol,hitgshyerin,Hyerin,HITGS,10-12-2009,B,B,D,A,A,,,,,
5,idol,hitgsiyoo,Iyoo,HITGS,26-03-2010,B,B,B,B,B,,,,,
5,idol,hitgsseohee,Seohee,HITGS,11-05-2009,B,B,D,B,B,,,,,
5,idol,hitgsseojin,Seojin,HITGS,16-04-2008,D,C,D,C,C,,,,,
5,idol,hitgsvv,VV,HITGS,03-06-2006,D,D,D,D,B,,,,,
4,idol,i-dleminnie,Minnie,i-dle,23-10-1997,A,B,D,B,A,,,,,
4,idol,i-dlemiyeon,Miyeon,i-dle,31-01-1997,S,C,D,B,A,,,,,
4,idol,i-dleshuhua,Shuhua,i-dle,06-01-2000,D,B,D,C,S,,,,,
4,idol,i-dlesoyeon,Soyeon,i-dle,26-08-1998,B,B,S,B,C,,,,,
4,idol,i-dleyuqi,Yuqi,i-dle,23-09-1999,B,B,B,B,A,,,,,
4,idol,ichillinchaerin,Chaerin,ICHILLIN',31-03-2003,B,B,D,B,B,,,,,
4,idol,ichillinchowon,Chowon,ICHILLIN',18-08-2005,A,B,D,B,B,,,,,
4,idol,ichilline.ji,E.Ji,ICHILLIN',08-11-2000,B,A,D,A,B,,,,,
4,idol,ichillinjackie,Jackie,ICHILLIN',17-11-2001,C,B,S,C,B,,,,,
4,idol,ichillinjiyoon,Jiyoon,ICHILLIN',15-09-2000,A,B,D,C,B,,,,,
4,idol,ichillinjoonie,Joonie,ICHILLIN',24-05-2002,C,B,A,C,B,,,,,
4,idol,ichillinyeju,Yeju,ICHILLIN',01-09-2004,B,B,D,A,A,,,,,
5,idol,ifeyekasia,Kasia,ifeye,15-02-2008,C,A,B,A,C,,,,,
5,idol,ifeyemeu,Meu,ifeye,09-06-2008,B,B,D,B,B,,,,,
5,idol,ifeyerahee,Rahee,ifeye,06-12-2007,C,B,B,B,C,,,,,
5,idol,ifeyesasha,Sasha,ifeye,20-05-2009,A,A,B,A,B,,,,,
5,idol,ifeyetaerin,Taerin,ifeye,03-07-2006,B,A,D,C,B,,,,,
5,idol,ifeyewonhwayeon,Won Hwayeon,ifeye,24-06-2006,B,B,D,B,A,,,,,
5,idol,iiieungi,Eungi,iii,16-08-2004,D,D,D,C,B,,,,,
5,idol,iiihana,Hana,iii,22-05-2004,C,B,D,C,C,,,,,
5,idol,iiihuranformer,Huran (former),iii,05-11-2006,B,B,D,B,B,,,,,
5,idol,iiinamkhing,Namkhing,iii,19-12-2007,D,A,D,B,B,,,,,
5,idol,iiisoobin,Soobin,iii,23-06-2006,B,B,D,B,B,,,,,
5,idol,iiitaeri,Taeri,iii,21-09-2002,B,B,D,B,C,,,,,
5,idol,illitiroha,Iroha,ILLIT,04-02-2008,B,S,D,B,A,,,,,
5,idol,illitminju,Minju,ILLIT,11-05-2004,B,B,D,A,A,,,,,
5,idol,illitmoka,Moka,ILLIT,08-10-2004,C,B,D,B,A,,,,,
5,idol,illitwonhee,Wonhee,ILLIT,26-06-2007,A,B,D,A,A,,,,,
5,idol,illityunah,Yunah,ILLIT,15-01-2004,B,B,D,B,B,,,,,
4,idol,itzychaeryeong,Chaeryeong,ITZY,05-06-2001,B,S,D,B,B,,,,,
4,idol,itzylia,Lia,ITZY,21-07-2000,A,C,D,C,A,,,,,
4,idol,itzyryujin,Ryujin,ITZY,17-04-2001,B,S,A,A,A,,,,,
4,idol,itzyyeji,Yeji,ITZY,26-05-2000,A,S,C,A,A,,,,,
4,idol,itzyyuna,Yuna,ITZY,09-12-2003,B,B,D,A,S,,,,,
4,idol,ivegaeul,Gaeul,IVE,24-09-2002,C,B,B,B,A,,,,,
4,idol,iveleeseo,Leeseo,IVE,21-02-2007,B,B,D,B,A,,,,,
4,idol,iveliz,Liz,IVE,21-11-2004,S,B,D,B,A,,,,,
4,idol,iverei,Rei,IVE,03-02-2004,C,B,B,B,A,,,,,
4,idol,ivewonyoung,Wonyoung,IVE,31-08-2004,B,B,D,S,S,,,,,
4,idol,iveyujin,Yujin,IVE,01-09-2003,S,A,D,A,S,,,,,
5,idol,iznabangjeemin,Bang Jeemin,izna,08-05-2005,C,B,D,S,A,,,,,
5,idol,iznachoijungeun,Choi Jungeun,izna,04-08-2007,A,A,D,B,B,,,,,
5,idol,iznajeongsaebi,Jeong Saebi,izna,22-01-2008,B,B,D,B,B,,,,,
5,idol,iznakoko,Koko,izna,14-11-2006,B,S,A,B,A,,,,,
5,idol,iznamai,Mai,izna,28-10-2004,C,A,D,B,A,,,,,
5,idol,iznaryusarang,Ryu Sarang,izna,18-04-2007,B,A,B,B,B,,,,,
5,idol,iznayoonjiyoonformer,Yoon Jiyoon (former),izna,14-07-2005,S,C,D,C,B,,,,,
4,idol,kep1erchaehyun,Chaehyun,Kep1er,26-04-2002,A,C,D,B,B,,,,,
4,idol,kep1erdayeon,Dayeon,Kep1er,02-03-2003,B,S,B,B,A,,,,,
4,idol,kep1erhikaru,Hikaru,Kep1er,12-03-2004,C,A,A,C,C,,,,,
4,idol,kep1erhueningbahiyyih,Huening Bahiyyih,Kep1er,27-07-2004,C,C,D,C,C,,,,,
4,idol,kep1ermashiroformer,Mashiro (former),Kep1er,16-12-1999,B,B,D,B,B,,,,,
4,idol,kep1erxiaoting,Xiaoting,Kep1er,12-11-1999,B,S,D,A,S,,,,,
4,idol,kep1eryeseoformer,Yeseo (former),Kep1er,22-08-2005,B,B,D,B,B,,,,,
4,idol,kep1eryoungeunformer,Youngeun (former),Kep1er,27-12-2004,A,A,B,B,B,,,,,
4,idol,kep1eryujin,Yujin,Kep1er,12-08-1996,B,B,D,B,B,,,,,
5,idol,kiiikiiihaum,Haum,KiiiKiii,14-11-2006,B,A,D,B,A,,,,,
5,idol,kiiikiiijiyu,Jiyu,KiiiKiii,14-05-2006,B,B,B,B,B,,,,,
5,idol,kiiikiiikya,Kya,KiiiKiii,18-12-2010,B,B,A,B,A,,,,,
5,idol,kiiikiiileesol,Leesol,KiiiKiii,18-09-2005,B,B,A,B,B,,,,,
5,idol,kiiikiiisui,Sui,KiiiKiii,10-04-2006,B,B,D,B,A,,,,,
5,idol,kiirasdoyeon,Doyeon,Kiiras,26-12-2009,C,C,D,D,B,,,,,
5,idol,kiirasharin,Harin,Kiiras,03-01-2008,B,B,D,B,B,,,,,
5,idol,kiiraskurumi,Kurumi,Kiiras,20-06-2006,A,C,D,B,B,,,,,
5,idol,kiiraskylie,Kylie,Kiiras,17-05-2008,C,B,B,D,B,,,,,
5,idol,kiiraslingling,LingLing,Kiiras,20-04-2005,B,B,D,B,C,,,,,
5,idol,kiirasroah,Roah,Kiiras,16-10-2010,S,B,D,B,B,,,,,
4,idol,lapillusbessie,Bessie,Lapillus,15-07-2004,A,C,C,C,C,,,,,
4,idol,lapilluschanty,Chanty,Lapillus,15-12-2002,B,C,D,C,C,,,,,
4,idol,lapillushaeun,Haeun,Lapillus,02-11-2008,B,B,B,B,C,,,,,
4,idol,lapillusseowon,Seowon,Lapillus,05-12-2006,B,B,A,B,B,,,,,
4,idol,lapillusshana,Shana,Lapillus,13-03-2003,B,B,D,B,C,,,,,
4,idol,lapillusyue,Yue,Lapillus,03-07-2004,B,C,D,C,C,,,,,
4,idol,lesserafimhongeunchae,Hong Eunchae,Le Sserafim,10-11-2006,D,B,C,B,A,,,,,
4,idol,lesserafimhuhyunjin,Huh Yunjin,Le Sserafim,08-10-2001,A,B,D,A,A,,,,,
4,idol,lesserafimkazuha,Kazuha,Le Sserafim,09-08-2003,D,A,C,B,A,,,,,
4,idol,lesserafimkimchaewon,Kim Chaewon,Le Sserafim,01-08-2000,B,B,D,B,A,,,,,
4,idol,lesserafimsakura,Sakura,Le Sserafim,19-03-1998,D,C,D,B,A,,,,,
4,idol,lightsumchowon,Chowon,LIGHTSUM,16-09-2002,A,B,C,B,B,,,,,
4,idol,lightsumhina,Hina,LIGHTSUM,07-04-2003,C,B,D,C,B,,,,,
4,idol,lightsumjuhyeon,Juhyeon,LIGHTSUM,08-04-2004,C,A,C,B,B,,,,,
4,idol,lightsumnayoung,Nayoung,LIGHTSUM,30-11-2002,B,A,D,A,B,,,,,
4,idol,lightsumsangah,Sangah,LIGHTSUM,04-09-2002,C,A,B,B,B,,,,,
4,idol,lightsumyujeong,Yujeong,LIGHTSUM,14-06-2004,C,B,D,C,B,,,,,
5,idol,loossemblegowon,Gowon,Loossemble,19-11-2000,C,C,C,C,B,,,,,
5,idol,loossemblehyeju,Hyeju,Loossemble,13-11-2001,B,A,C,A,A,,,,,
5,idol,loossemblehyunjin,Hyunjin,Loossemble,15-11-2000,B,B,D,A,S,,,,,
5,idol,loossemblevivi,Vivi,Loossemble,09-12-1996,C,B,D,C,B,,,,,
5,idol,loossembleyeojin,Yeojin,Loossemble,11-11-2002,C,C,D,C,B,,,,,
5,idol,meovvanna,Anna,Meovv,17-11-2005,C,C,D,B,S,,,,,
5,idol,meovvella,Ella,Meovv,01-12-2008,B,B,D,B,A,,,,,
5,idol,meovvgawon,Gawon,Meovv,27-04-2005,B,A,S,B,B,,,,,
5,idol,meovvnarin,Narin,Meovv,15-08-2007,B,A,S,B,B,,,,,
5,idol,meovvsooin,Sooin,Meovv,12-04-2005,B,B,D,A,A,,,,,
4,idol,natureaurora,Aurora,Nature,14-01-1997,C,C,D,C,B,,,,,
4,idol,naturechaebin,Chaebin,Nature,28-07-1999,A,C,D,C,B,,,,,
4,idol,natureharu,Haru,Nature,21-02-2000,C,A,D,C,C,,,,,
4,idol,natureloha,Loha,Nature,27-12-2001,C,B,C,B,C,,,,,
4,idol,naturelu,Lu,Nature,03-12-1997,B,B,D,B,C,,,,,
4,idol,naturesaebom,Saebom,Nature,30-01-1997,B,A,C,A,A,,,,,
4,idol,naturesohee,Sohee,Nature,20-01-1995,A,B,D,B,C,,,,,
4,idol,naturesunshine,Sunshine,Nature,20-06-2002,B,C,D,C,C,,,,,
4,idol,natureuchae,Uchae,Nature,07-05-2002,C,B,C,C,A,,,,,
5,idol,newjeansdanielle,Danielle,NewJeans,11-04-2005,A,B,C,B,B,,,,,
5,idol,newjeanshaerin,Haerin,NewJeans,15-05-2006,B,A,C,B,B,,,,,
5,idol,newjeanshanni,Hanni,NewJeans,06-10-2004,B,A,C,A,B,,,,,
5,idol,newjeanshyein,Hyein,NewJeans,21-04-2008,B,B,C,B,B,,,,,
5,idol,newjeansminji,Minji,NewJeans,07-05-2004,C,B,C,B,A,,,,,
4,idol,niziuayaka,Ayaka,NiziU,20-06-2003,C,C,D,B,A,,,,,
4,idol,niziumako,Mako,NiziU,04-04-2001,B,B,C,B,C,,,,,
4,idol,niziumaya,Maya,NiziU,08-04-2002,B,B,D,B,C,,,,,
4,idol,niziumayuka,Mayuka,NiziU,13-11-2003,B,B,S,B,A,,,,,
4,idol,niziumiihi,Miihi,NiziU,12-08-2004,A,B,D,B,A,,,,,
4,idol,niziunina,Nina,NiziU,27-02-2005,A,B,D,B,C,,,,,
4,idol,niziuriku,Riku,NiziU,26-10-2002,A,B,D,B,C,,,,,
4,idol,niziurima,Rima,NiziU,26-03-2004,B,B,S,B,C,,,,,
4,idol,niziurio,Rio,NiziU,04-02-2002,B,B,C,C,C,,,,,
4,idol,nmixxbae,Bae,NMIXX,28-12-2004,B,B,D,C,C,,,,,
4,idol,nmixxhaewon,Haewon,NMIXX,25-02-2003,A,B,C,A,A,,,,,
4,idol,nmixxjiwoo,Jiwoo,NMIXX,13-04-2005,C,B,A,C,B,,,,,
4,idol,nmixxkyujin,Kyujin,NMIXX,26-05-2006,B,A,A,S,B,,,,,
4,idol,nmixxlily,Lily,NMIXX,17-10-2002,S,B,D,B,C,,,,,
4,idol,nmixxsullyoon,Sullyoon,NMIXX,26-01-2004,A,B,D,B,S,,,,,
5,idol,oddyouthkanie,Kanie,ODD YOUTH,28-07-2007,C,B,D,C,B,,,,,
5,idol,oddyouthmaika,Maika,ODD YOUTH,16-02-2005,D,B,D,C,B,,,,,
5,idol,oddyouthmyah,Myah,ODD YOUTH,19-06-2006,B,A,B,A,B,,,,,
5,idol,oddyouthsummer,Summer,ODD YOUTH,23-09-2007,B,B,D,B,A,,,,,
5,idol,oddyouthyeeum,Yeeum,ODD YOUTH,27-12-2007,B,C,D,C,B,,,,,
4,idol,pixydajeong,Dajeong,PIXY,31-07-2003,B,B,D,C,C,,,,,
4,idol,pixydia,Dia,PIXY,16-07-2001,B,B,D,B,C,,,,,
4,idol,pixyellaformer,Ella (former),PIXY,26-03-1998,A,A,D,B,C,,,,,
4,idol,pixylola,Lola,PIXY,22-02-2001,B,B,C,B,B,,,,,
4,idol,pixysatbyeolformer,Satbyeol (former),PIXY,27-02-2001,D,B,C,C,C,,,,,
4,idol,pixysua,Sua,PIXY,24-02-2003,B,B,D,C,C,,,,,
5,idol,primrosehayun,Hayun,PRIMROSE,20-11-2003,C,C,D,B,B,,,,,
5,idol,primrosenahyun,Nahyun,PRIMROSE,25-01-2002,B,B,D,B,B,,,,,
5,idol,primroserainie,Rainie,PRIMROSE,16-11-2000,D,C,D,C,C,,,,,
5,idol,primroseruby,Ruby,PRIMROSE,21-08-2002,D,C,D,C,C,,,,,
4,idol,purplekisschaein,Chaein,Purple Kiss,05-12-2002,A,A,D,B,B,,,,,
4,idol,purplekissdosie,Dosie,Purple Kiss,11-02-2000,B,A,D,A,B,,,,,
4,idol,purplekissnagoeun,Na Goeun,Purple Kiss,03-09-1999,S,B,D,B,B,,,,,
4,idol,purplekissireh,Ireh,Purple Kiss,30-04-2002,B,A,D,B,B,,,,,
4,idol,purplekissswan,Swan,Purple Kiss,11-07-2003,S,C,D,B,B,,,,,
4,idol,purplekissyuki,Yuki,Purple Kiss,06-11-2002,C,B,S,B,B,,,,,
5,idol,queenzeyeahyoon,Ahyoon,Queenz Eye,24-09-2003,C,B,B,B,C,,,,,
5,idol,queenzeyejinyul,Jinyul,Queenz Eye,03-12-2004,B,B,D,B,B,,,,,
5,idol,queenzeyekiirii,Kiirii,Queenz Eye,08-06-2004,C,B,D,C,B,,,,,
5,idol,queenzeyeseoha,Seoha,Queenz Eye,28-08-2009,B,B,D,B,C,,,,,
5,idol,queenzeyeseovin,Seovin,Queenz Eye,01-10-2004,B,B,D,C,C,,,,,
5,idol,queenzeyewonchae,Wonchae,Queenz Eye,22-12-2002,B,B,D,B,C,,,,,
5,idol,resceneliv,Liv,Rescene,11-10-2006,A,C,D,B,B,,,,,
5,idol,rescenemay,May,Rescene,19-08-2008,B,C,D,C,B,,,,,
5,idol,resceneminami,Minami,Rescene,29-11-2006,A,B,D,B,B,,,,,
5,idol,rescenewoni,Woni,Rescene,25-05-2004,C,B,D,B,A,,,,,
5,idol,rescenezena,Zena,Rescene,27-11-2008,B,B,D,B,A,,,,,
4,idol,rocketpunchdahyun,Dahyun,Rocket Punch,29-04-2005,B,B,C,B,B,,,,,
4,idol,rocketpunchjuri,Juri,Rocket Punch,03-10-1997,B,B,D,B,C,,,,,
4,idol,rocketpunchsohee,Sohee,Rocket Punch,14-08-2003,C,B,C,C,C,,,,,
4,idol,rocketpunchsuyun,Suyun,Rocket Punch,17-03-2001,A,B,D,C,C,,,,,
4,idol,rocketpunchyeonhee,Yeonhee,Rocket Punch,06-12-2000,B,B,D,A,B,,,,,
4,idol,rocketpunchyunkyoung,Yunkyoung,Rocket Punch,01-11-2001,B,B,D,C,C,,,,,
5,idol,saymynamedohee,Dohee,SAY MY NAME,09-12-2006,A,B,D,S,A,,,,,
5,idol,saymynamehitomi,Hitomi,SAY MY NAME,06-10-2001,B,B,D,B,B,,,,,
5,idol,saymynamejunhwi,Junhwi,SAY MY NAME,11-06-2007,C,C,C,C,A,,,,,
5,idol,saymynamekanny,Kanny,SAY MY NAME,26-12-2005,D,B,B,C,B,,,,,
5,idol,saymynamemei,Mei,SAY MY NAME,27-09-2005,B,B,D,A,B,,,,,
5,idol,saymynameseungjoo,Seungjoo,SAY MY NAME,24-09-2010,B,C,D,C,B,,,,,
5,idol,saymynameshuie,Shuie,SAY MY NAME,06-06-2004,D,C,A,C,B,,,,,
5,idol,saymynamesoha,Soha,SAY MY NAME,26-07-2006,A,B,D,B,A,,,,,
4,idol,secretnumberdeniseformer,Denise (former),SECRET NUMBER,11-01-2001,A,B,D,B,C,,,,,
4,idol,secretnumberdinda,Dinda,SECRET NUMBER,22-08-2003,C,C,D,B,B,,,,,
