Tipo,ID,Nome,Fonte,Conceitos Originais,Gêneros Originais
music,produce101crush,Crush,Produce 101,Elegant / Mature / Performance,Electro-Synth / EDM / Groove
music,produce101dontmatter,Don't Matter,Produce 101,Elegant / Swag / Mature,Hip-hop / Groove / Experimental
music,produce101fingertips,FingerTips,Produce 101,Mature / Performance / Cute,Groove / Electro-Synth / Experimental
music,produce101inthesameplace,In The Same Place,Produce 101,Conceptual / Elegant / Dreamcore,Emotional / R&B / Electro-Synth
music,produce101pickme,Pick Me,Produce 101,Conceptual / Teen Crush / Performance,EDM / Groove / Experimental
music,produce101yumyum,Yum-Yum,Produce 101,Teen Crush / Performance / Cute,Groove / Electro-Synth / Pop
music,produce101japanthegirlsleaphigh,Leap High!,Produce 101 Japan The Girls,Cute / Conceptual / Teen Crush,EDM / Groove / Experimental
music,produce101japanthegirlsme,&ME,Produce 101 Japan The Girls,Cute / Dreamcore / Teen Crush,Pop / Electro-Synth / Experimental
music,produce101japanthegirlsatoz,AtoZ,Produce 101 Japan The Girls,Cute / Teen Crush / Dreamcore,Pop / Electro-Synth / Groove
music,produce101japanthegirlsbaddie,Baddie,Produce 101 Japan The Girls,Girl Crush / Swag / Dark,Hip-hop / Experimental / Electro-Synth
music,produce101japanthegirlspopcorn,Popcorn,Produce 101 Japan The Girls,Cute / Dreamcore / Performance,Pop / Tropical / Groove
music,produce101japanthegirlstoxic,Toxic,Produce 101 Japan The Girls,Dark / Swag / Girl Crush,Hip-hop / Experimental / Groove
music,produce101season2always,Always,Produce 101 Season 2,Conceptual / Dreamcore / Elegant,Emotional / R&B / Electro-Synth
music,produce101season2handsonme,Hands On Me,Produce 101 Season 2,Elegant / Mature / Performance,Groove / Electro-Synth / Pop
music,produce101season2iknowyouknow,I Know You Know,Produce 101 Season 2,Cute / Dreamcore / Swag,Pop / Groove / Electro-Synth
music,produce101season2itsmepickme,It's Me (Pick Me),Produce 101 Season 2,Conceptual / Dreamcore / Teen Crush,EDM / Electro-Synth / Pop
music,produce101season2never,Never,Produce 101 Season 2,Elegant / Conceptual / Performance,Electro-Synth / Experimental / Emotional
music,produce101season2ohlittlegirl,Oh Little Girl,Produce 101 Season 2,Cute / Teen Crush / Swag,Groove / Experimental / R&B
music,produce101season2openup,Open Up,Produce 101 Season 2,Dark / Elegant / Mature,EDM / Experimental / Groove
music,produce101season2showtime,Show Time,Produce 101 Season 2,Teen Crush / Performance / Conceptual,Pop / Groove / Electro-Synth
music,produce101season2superhot,Super Hot,Produce 101 Season 2,Teen Crush / Performance / Conceptual,Groove / Pop / Hip-hop
music,produce481000,1000%,Produce 48,Dreamcore / Cute / Conceptual,Pop / Emotional / Electro-Synth
music,produce48aswedream,As We Dream,Produce 48,Cute / Dreamcore / Elegant,Emotional / R&B / Electro-Synth
music,produce48iam,IAM,Produce 48,Dark / Mature / Performance,Hip-hop / R&B / Electro-Synth
music,produce48nekkoyapickme,Nekkoya (Pick Me),Produce 48,Teen Crush / Conceptual / Performance,Pop / EDM / Experimental
music,produce48rollinrollin,Rollin' Rollin',Produce 48,Cute / Dreamcore / Performance,Pop / Tropical / Groove
music,produce48rumor,Rumor,Produce 48,Dark / Mature / Performance,Tropical / Hip-hop / Groove
music,produce48seeyouagain,See You Again,Produce 48,Dreamcore / Cute / Elegant,Pop / Emotional / R&B
music,produce48toreachyou,To Reach You,Produce 48,Dreamcore / Cute / Elegant,Pop / R&B / Groove
music,produce48wetogether,We Together,Produce 48,Cute / Teen Crush / Conceptual,Groove / Electro-Synth / R&B
music,produce48youreinlovearentyou,"You're In Love, Aren't You?",Produce 48,Elegant / Performance / Conceptual,Electro-Synth / Pop / Experimental
music,producex101boyness,Boyness,Produce X 101,Elegant / Mature / Dreamcore,Emotional / R&B / EDM
music,producex101dreamforyou,Dream For You,Produce X 101,Conceptual / Dreamcore / Elegant,Emotional / R&B / Rock
music,producex101mondaytosunday,Monday to Sunday,Produce X 101,Dreamcore / Cute / Elegant,Emotional / Electro-Synth / Pop
music,producex101move,MOVE,Produce X 101,Dark / Mature / Performance,EDM / Experimental / Tropical
music,producex101prettygirl,Pretty Girl,Produce X 101,Cute / Dreamcore / Teen Crush,Pop / Electro-Synth / Rock
music,producex101superspecialgirl,Super Special Girl,Produce X 101,Teen Crush / Performance / Cute,Groove / Tropical / Pop
music,producex101tomyworld,To My World,Produce X 101,Dark / Mature / Performance,Pop / R&B / Groove
music,producex101ugotit,U GOT IT,Produce X 101,Dark / Mature / Performance,Hip-hop / Tropical / Experimental
music,producex101x1ma,X1-MA,Produce X 101,Teen Crush / Conceptual / Performance,EDM / Experimental / Pop
music,queendompuzzlebadblood,Bad Blood,Queendom Puzzle,Performance / Mature / Conceptual,Tropical / Groove / Experimental
music,queendompuzzlebillionaire,Billionaire,Queendom Puzzle,Swag / Girl Crush / Performance,Hip-hop / Groove / Experimental
music,queendompuzzlecharismatic,Charismatic,Queendom Puzzle,Cute / Teen Crush / Performance,Tropical / Groove / Experimental
music,queendompuzzleglowup,Glow-up,Queendom Puzzle,Swag / Girl Crush / Performance,Hip-hop / Groove / Experimental
music,queendompuzzleidgaidontgivea,i DGA (i DONT GIVE A),Queendom Puzzle,Swag / Girl Crush / Performance,Hip-hop / EDM / Experimental
music,queendompuzzleido,I Do,Queendom Puzzle,Conceptual / Dreamcore / Cute,Groove / Pop / Experimental
music,queendompuzzlelastpiece,Last Piece,Queendom Puzzle,Dark / Girl Crush / Swag,EDM / Groove / Experimental
music,queendompuzzleoverwater,Overwater,Queendom Puzzle,Conceptual / Dreamcore / Elegant,Groove / R&B / Tropical
music,queendompuzzlepuzzlin,PUZZLIN',Queendom Puzzle,Cute / Elegant / Dreamcore,Groove / Electro-Synth / Pop
music,queendompuzzleriseup,RISE UP,Queendom Puzzle,Conceptual / Cute / Elegant,Emotional / R&B / Electro-Synth
music,queendompuzzlesnap,Snap,Queendom Puzzle,Dark / Girl Crush / Swag,Hip-hop / Experimental / Rock
music,queendompuzzleweb,WEB,Queendom Puzzle,Dark / Mature / Performance,Experimental / Groove / Rock
music,runextaimhigh,Aim High,R U Next?,Teen Crush / Cute / Performance,Pop / Electro-Synth / Groove
music,runextdesperate,Desperate,R U Next?,Dark / Girl Crush / Performance,EDM / Experimental / Groove
music,runextpride,Pride,R U Next?,Girl Crush / Swag / Dark,EDM / Experimental / Hip-hop
music,runextrun,R.U.N,R U Next?,Dreamcore / Teen Crush / Conceptual,Electro-Synth / Experimental / Groove
music,runextscrum,Scrum,R U Next?,Teen Crush / Performance / Cute,Groove / Pop / Electro-Synth
music,theunitlastone,Last One,THE UNI+,Conceptual / Performance / Teen Crush,EDM / Groove / Experimental
music,theunitmyturn,My Turn,THE UNI+,Conceptual / Elegant / Mature,Tropical / Pop / Groove
music,theunitshine,Shine,THE UNI+,Cute / Conceptual / Dreamcore,Tropical / Pop / Electro-Synth
music,universeticketcomewithmeuniverse,Come with me? (Universe),Universe Ticket,Conceptual / Cute / Dreamcore,Pop / Electro-Synth / Rock
music,universeticketdopamine,Dopamine,Universe Ticket,Dark / Girl Crush / Performance,Rock / Experimental / Electro-Synth
music,universeticketdreamofgirls,Dream of Girls,Universe Ticket,Cute / Dreamcore / Conceptual,Emotional / Electro-Synth / Experimental
music,universeticketcamera,Camera,Universe Ticket,Teen Crush / Cute / Swag,Experimental / Pop / Hip-hop
music,universeticketrushhour,Rush Hour,Universe Ticket,Swag / Dark / Girl Crush,Groove / Hip-hop / Experimental
music,universetickettickettoyou,Ticket to You,Universe Ticket,Cute / Conceptual / Dreamcore,EDM / Pop / Electro-Synth
music,universeticketwhateva,Whateva,Universe Ticket,Cute / Teen Crush / Swag,Pop / Groove / Experimental
music,universeticketyummyyum,Yummy Yum,Universe Ticket,Dark / Girl Crush / Swag,Hip-hop / Experimental / Groove
